Timestamp,Price,Volume,DataType,Correction,MarketState
20260526 12:00:12.588,4504.6,1,B,R,N
20260526 12:00:12.588,4504.5,5,B,R,N
20260526 12:00:12.596,4504.6,1,B,R,N
20260526 12:00:12.596,4504.8,1,A,R,N
20260526 12:00:12.596,4504.8,2,A,R,N
20260526 12:00:12.596,4504.8,3,A,R,N
20260526 12:00:12.596,4504.5,5,B,R,N
20260526 12:00:12.676,4504.6,1,B,R,N
20260526 12:00:12.676,4504.8,2,A,R,N
20260526 12:00:12.676,4504.6,2,B,R,N
20260526 12:00:12.708,4504.8,1,A,R,N
20260526 12:00:12.708,4504.9,4,A,R,N
20260526 12:00:12.708,4504.8,1,A,R,N
20260526 12:00:12.708,4504.8,2,A,R,N
20260526 12:00:12.948,4504.6,1,B,R,N
20260526 12:00:12.948,4504.6,2,B,R,N
20260526 12:00:13.196,4504.6,1,B,R,N
20260526 12:00:13.196,4504.8,3,A,R,N
20260526 12:00:13.412,4504.7,1,A,R,N
20260526 12:00:14.712,4504.7,2,A,R,N
20260526 12:00:14.712,4504.6,1,T,R,N
20260526 12:00:14.712,4504.5,4,B,R,N
20260526 12:00:14.712,4504.5,3,B,R,N
20260526 12:00:14.716,4504.5,2,B,R,N
20260526 12:00:14.716,4504.7,1,A,R,N
20260526 12:00:14.716,4504.5,1,B,R,N
20260526 12:00:14.808,4504.5,2,B,R,N
20260526 12:00:14.808,4504.5,3,B,R,N
20260526 12:00:14.996,4504.8,3,A,R,N
20260526 12:00:15.068,4504.7,1,A,R,N
20260526 12:00:15.068,4504.7,2,A,R,N
20260526 12:00:15.140,4504.5,2,B,R,N
20260526 12:00:15.244,4504.5,1,B,R,N
20260526 12:00:15.364,4504.6,1,B,R,N
20260526 12:00:15.528,4504.7,1,A,R,N
20260526 12:00:15.540,4504.8,3,A,R,N
20260526 12:00:15.584,4504.7,1,A,R,N
20260526 12:00:15.624,4504.7,2,A,R,N
20260526 12:00:15.624,4504.7,1,A,R,N
20260526 12:00:15.660,4504.7,1,T,R,N
20260526 12:00:15.660,4504.8,3,A,R,N
20260526 12:00:15.660,4504.7,1,B,R,N
20260526 12:00:15.660,4504.8,2,A,R,N
20260526 12:00:15.664,4504.8,1,A,R,N
20260526 12:00:15.664,4504.6,2,B,R,N
